dataset,variable,condition_key,condition_value,n,mean,std,min,p05,p25,p50,p75,p95,max,missing_rate,unit,layer,license
KNHANES,HE_mPLS,age_band|gender,10s|F,179,104.96,14.08,45.0,66.1,103.0,106.0,112.0,122.0,129.0,,bpm,SURVEY,KNHANES(공식공개)
KNHANES,HE_mPLS,age_band|gender,10s|M,177,94.08,23.87,42.0,52.0,75.0,104.0,109.0,119.2,132.0,,bpm,SURVEY,KNHANES(공식공개)
KNHANES,HE_mPLS,age_band|gender,20s|F,63,68.79,22.84,46.0,51.0,55.0,57.0,77.0,115.6,126.0,,bpm,SURVEY,KNHANES(공식공개)
KNHANES,HE_mPLS,age_band|gender,20s|M,99,59.61,16.16,42.0,49.9,52.0,56.0,57.0,107.1,120.0,,bpm,SURVEY,KNHANES(공식공개)
KNHANES,HE_mPLS,age_band|gender,30s|F,68,60.1,16.11,44.0,50.0,53.0,56.0,57.0,106.0,115.0,,bpm,SURVEY,KNHANES(공식공개)
KNHANES,HE_mPLS,age_band|gender,30s|M,117,57.21,11.82,43.0,48.0,52.0,55.0,57.0,89.0,114.0,,bpm,SURVEY,KNHANES(공식공개)
KNHANES,HE_mPLS,age_band|gender,40s|F,126,63.67,19.19,41.0,50.0,54.0,56.0,59.0,104.0,138.0,,bpm,SURVEY,KNHANES(공식공개)
KNHANES,HE_mPLS,age_band|gender,40s|M,155,57.43,12.18,45.0,48.0,52.0,55.0,57.0,72.0,116.0,,bpm,SURVEY,KNHANES(공식공개)
KNHANES,HE_mPLS,age_band|gender,50s|F,247,57.17,11.23,39.0,47.0,53.0,56.0,57.0,77.7,115.0,,bpm,SURVEY,KNHANES(공식공개)
KNHANES,HE_mPLS,age_band|gender,50s|M,268,57.06,11.28,41.0,46.35,52.0,55.0,57.0,82.6,111.0,,bpm,SURVEY,KNHANES(공식공개)
KNHANES,HE_mPLS,age_band|gender,60s|F,376,58.41,12.7,40.0,48.0,53.0,56.0,58.0,95.0,121.0,,bpm,SURVEY,KNHANES(공식공개)
KNHANES,HE_mPLS,age_band|gender,60s|M,396,58.43,13.51,37.0,46.75,52.0,55.0,57.0,96.5,113.0,,bpm,SURVEY,KNHANES(공식공개)
KNHANES,HE_mPLS,age_band|gender,70s|F,295,60.74,14.67,32.0,47.0,54.0,56.0,58.0,102.0,119.0,,bpm,SURVEY,KNHANES(공식공개)
KNHANES,HE_mPLS,age_band|gender,70s|M,394,59.26,13.48,36.0,48.0,52.0,56.0,58.0,87.0,135.0,,bpm,SURVEY,KNHANES(공식공개)
KNHANES,HE_mPLS,age_band|gender,80s|F,124,69.59,18.87,41.0,48.0,56.0,64.5,80.25,105.85,116.0,,bpm,SURVEY,KNHANES(공식공개)
KNHANES,HE_mPLS,age_band|gender,80s|M,157,60.69,15.06,32.0,45.0,52.0,57.0,64.0,92.2,112.0,,bpm,SURVEY,KNHANES(공식공개)
KNHANES,HE_sbp,age_band|gender,10s|F,1883,104.3,8.94,73.0,91.0,98.0,104.0,110.0,119.5,155.0,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_sbp,age_band|gender,10s|M,2050,109.18,10.37,80.0,93.0,102.0,108.75,116.0,127.0,146.0,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_sbp,age_band|gender,20s|F,1643,105.76,9.26,81.0,93.0,99.0,105.0,111.0,122.0,166.0,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_sbp,age_band|gender,20s|M,1487,117.25,10.73,88.0,100.65,110.0,116.5,124.0,135.0,170.0,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_sbp,age_band|gender,30s|F,1858,106.94,11.1,82.0,91.5,99.5,105.5,113.0,125.5,197.0,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_sbp,age_band|gender,30s|M,1478,118.41,11.43,91.5,102.0,110.5,117.5,125.0,137.0,177.0,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_sbp,age_band|gender,40s|F,2618,111.33,13.47,83.5,94.0,102.0,109.5,118.0,135.5,199.5,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_sbp,age_band|gender,40s|M,1994,120.04,12.89,81.0,101.5,111.5,118.5,127.0,143.0,181.5,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_sbp,age_band|gender,50s|F,2999,117.1,15.55,82.0,95.5,106.0,115.0,126.0,144.5,189.0,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_sbp,age_band|gender,50s|M,2184,122.14,14.6,85.5,101.0,112.5,121.0,130.0,145.42,237.5,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_sbp,age_band|gender,60s|F,3358,123.81,16.03,84.0,100.0,112.5,122.5,133.5,152.0,198.5,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_sbp,age_band|gender,60s|M,2552,125.26,15.37,71.5,102.5,115.0,124.0,134.0,151.22,209.0,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_sbp,age_band|gender,70s|F,2343,129.37,16.39,75.0,104.55,118.5,128.0,139.0,158.0,202.0,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_sbp,age_band|gender,70s|M,1912,127.61,16.62,76.5,103.28,116.0,126.0,137.0,156.0,233.5,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_sbp,age_band|gender,80s|F,1043,133.8,17.81,88.0,107.05,122.0,131.5,143.0,167.5,206.0,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_sbp,age_band|gender,80s|M,690,128.44,17.82,78.5,102.72,116.12,127.5,139.0,159.77,196.0,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_dbp,age_band|gender,10s|F,1883,64.6,7.49,32.0,53.0,60.0,64.0,69.0,78.0,91.5,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_dbp,age_band|gender,10s|M,2050,65.09,8.22,32.0,52.72,60.0,64.5,70.0,79.0,109.0,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_dbp,age_band|gender,20s|F,1643,67.92,7.46,45.0,58.0,63.0,67.0,72.0,81.5,129.0,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_dbp,age_band|gender,20s|M,1487,72.95,8.73,49.0,60.0,67.0,72.0,78.0,88.0,114.0,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_dbp,age_band|gender,30s|F,1858,69.93,8.58,44.0,58.0,64.0,69.0,74.5,85.57,128.0,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_dbp,age_band|gender,30s|M,1478,77.21,9.77,53.0,63.0,70.5,76.0,83.0,93.5,124.0,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_dbp,age_band|gender,40s|F,2618,73.07,9.69,50.5,60.0,66.0,71.5,79.0,90.0,129.0,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_dbp,age_band|gender,40s|M,1994,80.15,10.19,51.5,65.0,73.0,79.5,86.0,98.0,129.0,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_dbp,age_band|gender,50s|F,2999,75.04,9.45,42.5,61.5,68.0,74.0,81.0,92.0,115.5,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_dbp,age_band|gender,50s|M,2184,80.36,9.51,54.5,65.5,74.0,80.0,86.5,96.0,129.5,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_dbp,age_band|gender,60s|F,3358,74.88,8.9,44.0,62.0,68.5,74.5,81.0,90.0,118.5,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_dbp,age_band|gender,60s|M,2552,77.91,9.09,41.5,63.5,72.0,77.5,83.5,93.0,124.5,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_dbp,age_band|gender,70s|F,2343,72.79,8.8,44.0,59.5,66.5,72.5,78.5,87.5,112.0,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_dbp,age_band|gender,70s|M,1912,73.3,9.08,47.0,60.0,67.0,72.5,79.0,89.0,113.5,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_dbp,age_band|gender,80s|F,1043,71.34,9.43,42.0,57.05,65.0,71.0,77.0,88.0,119.0,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_dbp,age_band|gender,80s|M,690,69.87,9.35,40.0,55.5,63.5,69.5,76.0,86.0,103.5,,mmHg,SURVEY,KNHANES(공식공개)
KNHANES,HE_BMI,age_band|gender,10s|F,2582,18.62,3.73,11.56,14.08,15.83,17.86,20.66,25.58,44.15,,kg/m2,SURVEY,KNHANES(공식공개)
KNHANES,HE_BMI,age_band|gender,10s|M,2735,19.82,4.6,12.19,14.31,16.23,18.78,22.48,28.57,42.14,,kg/m2,SURVEY,KNHANES(공식공개)
KNHANES,HE_BMI,age_band|gender,20s|F,1662,22.2,4.3,14.14,17.25,19.24,21.28,24.03,30.79,46.59,,kg/m2,SURVEY,KNHANES(공식공개)
KNHANES,HE_BMI,age_band|gender,20s|M,1502,25.01,4.65,14.78,18.91,21.94,24.19,27.23,33.67,51.9,,kg/m2,SURVEY,KNHANES(공식공개)
KNHANES,HE_BMI,age_band|gender,30s|F,1869,23.02,4.28,14.14,17.88,20.06,22.09,25.02,31.45,47.96,,kg/m2,SURVEY,KNHANES(공식공개)
KNHANES,HE_BMI,age_band|gender,30s|M,1508,25.73,4.02,15.43,19.84,23.06,25.23,27.95,32.9,47.85,,kg/m2,SURVEY,KNHANES(공식공개)
KNHANES,HE_BMI,age_band|gender,40s|F,2654,23.24,3.91,15.33,18.36,20.45,22.47,25.15,31.0,44.85,,kg/m2,SURVEY,KNHANES(공식공개)
KNHANES,HE_BMI,age_band|gender,40s|M,2028,25.69,3.53,16.0,20.36,23.36,25.37,27.68,31.91,40.57,,kg/m2,SURVEY,KNHANES(공식공개)
KNHANES,HE_BMI,age_band|gender,50s|F,3021,23.76,3.63,15.02,18.84,21.19,23.22,25.83,30.44,48.68,,kg/m2,SURVEY,KNHANES(공식공개)
KNHANES,HE_BMI,age_band|gender,50s|M,2204,24.94,3.22,15.03,19.87,22.87,24.78,26.75,30.48,39.97,,kg/m2,SURVEY,KNHANES(공식공개)
KNHANES,HE_BMI,age_band|gender,60s|F,3367,24.26,3.46,14.16,19.3,21.91,23.91,26.28,30.5,39.5,,kg/m2,SURVEY,KNHANES(공식공개)
KNHANES,HE_BMI,age_band|gender,60s|M,2551,24.35,3.05,15.08,19.43,22.34,24.3,26.2,29.32,38.86,,kg/m2,SURVEY,KNHANES(공식공개)
KNHANES,HE_BMI,age_band|gender,70s|F,2283,24.46,3.28,12.46,19.54,22.19,24.33,26.56,29.93,40.36,,kg/m2,SURVEY,KNHANES(공식공개)
KNHANES,HE_BMI,age_band|gender,70s|M,1887,23.82,2.96,13.54,18.86,21.91,23.88,25.6,28.71,36.49,,kg/m2,SURVEY,KNHANES(공식공개)
KNHANES,HE_BMI,age_band|gender,80s|F,927,23.51,3.36,12.07,18.43,21.24,23.48,25.57,29.18,37.67,,kg/m2,SURVEY,KNHANES(공식공개)
KNHANES,HE_BMI,age_band|gender,80s|M,652,23.06,2.94,14.44,18.35,21.09,22.97,25.12,27.71,34.18,,kg/m2,SURVEY,KNHANES(공식공개)
KNHANES,HE_wc,age_band|gender,10s|F,1993,64.47,10.07,44.1,49.76,57.0,63.9,70.5,82.1,128.2,,cm,SURVEY,KNHANES(공식공개)
KNHANES,HE_wc,age_band|gender,10s|M,2141,70.57,13.48,42.2,51.5,60.2,69.4,78.7,95.7,120.4,,cm,SURVEY,KNHANES(공식공개)
KNHANES,HE_wc,age_band|gender,20s|F,1627,73.3,10.29,55.0,61.0,66.2,71.0,78.4,92.47,139.2,,cm,SURVEY,KNHANES(공식공개)
KNHANES,HE_wc,age_band|gender,20s|M,1479,85.66,12.07,57.7,69.39,77.4,83.8,91.7,108.3,147.5,,cm,SURVEY,KNHANES(공식공개)
KNHANES,HE_wc,age_band|gender,30s|F,1827,77.07,10.45,53.2,63.7,69.3,75.2,82.7,97.77,130.3,,cm,SURVEY,KNHANES(공식공개)
KNHANES,HE_wc,age_band|gender,30s|M,1489,89.3,10.38,59.4,73.68,82.5,88.3,95.3,107.0,137.7,,cm,SURVEY,KNHANES(공식공개)
KNHANES,HE_wc,age_band|gender,40s|F,2599,78.4,10.1,58.2,64.7,71.2,76.8,84.0,98.0,138.5,,cm,SURVEY,KNHANES(공식공개)
KNHANES,HE_wc,age_band|gender,40s|M,1990,90.04,9.47,58.9,75.4,83.7,89.5,95.7,106.4,131.0,,cm,SURVEY,KNHANES(공식공개)
KNHANES,HE_wc,age_band|gender,50s|F,2979,80.81,9.58,56.7,66.7,74.3,79.9,86.3,98.02,144.4,,cm,SURVEY,KNHANES(공식공개)
KNHANES,HE_wc,age_band|gender,50s|M,2167,88.95,8.78,56.6,74.9,83.4,88.9,94.2,103.4,142.6,,cm,SURVEY,KNHANES(공식공개)
KNHANES,HE_wc,age_band|gender,60s|F,3337,83.57,9.3,56.8,69.4,77.1,83.2,89.3,99.4,127.3,,cm,SURVEY,KNHANES(공식공개)
KNHANES,HE_wc,age_band|gender,60s|M,2540,88.59,8.87,61.5,73.6,83.0,88.5,94.2,103.4,132.7,,cm,SURVEY,KNHANES(공식공개)
KNHANES,HE_wc,age_band|gender,70s|F,2320,86.02,9.26,56.5,71.2,79.8,86.0,91.9,101.0,126.6,,cm,SURVEY,KNHANES(공식공개)
KNHANES,HE_wc,age_band|gender,70s|M,1889,88.86,8.91,54.3,73.7,83.2,89.0,94.5,103.2,117.7,,cm,SURVEY,KNHANES(공식공개)
KNHANES,HE_wc,age_band|gender,80s|F,1037,84.37,9.96,50.1,67.0,78.1,84.7,90.7,99.84,114.1,,cm,SURVEY,KNHANES(공식공개)
KNHANES,HE_wc,age_band|gender,80s|M,683,87.61,9.67,57.5,70.3,81.25,88.2,94.5,102.1,121.4,,cm,SURVEY,KNHANES(공식공개)
KNHANES,HE_ht,age_band|gender,10s|F,2306,143.58,19.82,100.0,106.4,128.0,149.9,160.4,167.48,179.8,,cm,SURVEY,KNHANES(공식공개)
KNHANES,HE_ht,age_band|gender,10s|M,2493,148.32,23.37,100.2,108.3,130.0,149.6,169.4,179.8,192.7,,cm,SURVEY,KNHANES(공식공개)
